participant,start_time_s,end_time_s,sam_label,block,sam_rating,stimulus,theta_AF3,alpha_AF3,beta_AF3,tbr_AF3,bar_AF3,theta_F7,alpha_F7,beta_F7,tbr_F7,bar_F7,theta_F3,alpha_F3,beta_F3,tbr_F3,bar_F3,theta_FC5,alpha_FC5,beta_FC5,tbr_FC5,bar_FC5,theta_T7,alpha_T7,beta_T7,tbr_T7,bar_T7,theta_P7,alpha_P7,beta_P7,tbr_P7,bar_P7,theta_O1,alpha_O1,beta_O1,tbr_O1,bar_O1,theta_O2,alpha_O2,beta_O2,tbr_O2,bar_O2,theta_P8,alpha_P8,beta_P8,tbr_P8,bar_P8,theta_T8,alpha_T8,beta_T8,tbr_T8,bar_T8,theta_FC6,alpha_FC6,beta_FC6,tbr_FC6,bar_FC6,theta_F4,alpha_F4,beta_F4,tbr_F4,bar_F4,theta_F8,alpha_F8,beta_F8,tbr_F8,bar_F8,theta_AF4,alpha_AF4,beta_AF4,tbr_AF4,bar_AF4
P8,240533.8960128573,240534.8960128573,5,1,High,target,7679649.111041963,6309589.781158512,5590857.771042136,1.373608384534253,0.8860889479277035,7741295.572930131,8064453.892632682,9259089.094522092,0.836075287093854,1.1481359082455385,12822508.040631548,13441664.29289421,5973092.488920596,2.1467117852964495,0.4443714973657099,9986995.348275336,9532017.924131649,8580881.031134037,1.163865961087153,0.9002166277310837,7713045.886760625,9967691.616241768,5532778.534744374,1.3940637309671358,0.5550711988048503,3801349.3667185935,12361139.31562958,7152342.538577195,0.5314831254537189,0.5786151547967495,8846155.361034162,5082466.996364768,10212503.207671467,0.866208331213945,2.0093594734556968,14432184.895033998,14262008.459246542,11590707.54393547,1.2451513283660802,0.8126981257272234,5219470.762249257,11368447.035827417,10783158.582772795,0.48403913586023845,0.9485164111500808,8098334.675815699,5902187.345166386,8245834.890740775,0.9821121551814355,1.3970811850785667,11665343.871945104,15095746.895447744,6550045.445916266,1.7809561732457986,0.43390005749841304,14789914.412163943,12583248.926494943,5437581.155531964,2.7199436641267067,0.4321285533883656,5311481.933277463,6490046.356284131,5820307.728848283,0.9125775097682839,0.8968052629104323,8847386.489424655,8589792.709146153,9111394.025665615,0.9710244628322203,1.0607233881166978
P8,240536.0059574609,240537.0059574609,5,1,High,target,12789899.30837814,12203402.64322368,8628774.859674882,1.4822381527358615,0.7070794197277657,6387326.3046267815,8961827.679646173,9475300.427360566,0.6741027742173692,1.0572955390428425,3764162.3147653188,10228047.727488972,8539599.178244065,0.44078910920726794,0.8349197623797726,12088957.364804229,9365586.754596328,11696984.496033527,1.0335105914608693,1.2489323736489892,6310971.398398162,7746274.83275312,6772188.620298362,0.9318953963394067,0.8742510131016671,6029063.636138986,6280393.492921103,6399333.547353412,0.9421393011515145,1.018938312474588,6836577.895914696,8619465.902271563,8545684.74121145,0.8000035225902251,0.9914401702035077,4880908.974188213,7915857.85915251,8421615.462046584,0.5795692045290888,1.0638916983974522,7523051.650750965,11802558.335153574,8532560.637323543,0.8816874523977322,0.7229416195224014,8236060.066485472,8629657.854799347,6400885.592754402,1.2867063388554278,0.7417310976233638,7186393.81649462,5042518.76870326,6984736.464350478,1.0288711468461817,1.385168163914773,6511099.326994562,8525879.964983294,7509002.733696663,0.8671057339979372,0.8807305245366982,7395436.892956522,10230859.970299318,6498514.534650508,1.1380195971746412,0.6351875163491643,9808504.307689486,7616173.063666459,5217118.937199296,1.8800614718120612,0.6850053030028906
P8,240538.1116942645,240539.1116942645,5,1,High,target,13749497.359642839,7620210.621827307,9619290.822016804,1.4293670514849957,1.262339231735057,6859753.2322132215,7726061.317075953,10330052.186679464,0.6640579455212074,1.3370398917037112,8046178.072116605,6050240.459181114,8009348.961222396,1.004598265236353,1.3238067173129253,14656545.283503802,9731132.084599433,7724294.118309483,1.8974607982316827,0.7937713773851669,6525539.384836982,6962756.70340013,10370964.834205452,0.6292123721521539,1.4894911995332234,11043420.04993332,8946412.950380934,9378769.965957297,1.1774913011000703,1.0483274154652065,10418027.590660585,7257216.417326812,7083717.988009339,1.4707005005415597,0.9760929784451184,8851612.10960353,13394291.87099261,11848858.94762738,0.7470434198540257,0.8846200352918917,6358540.417105061,9152026.95030109,8102163.463310067,0.7847953754449847,0.8852862330178688,7451377.27416817,7712649.350280471,9441584.797136249,0.7892083198181163,1.2241688126004204,7527166.546177477,12638917.605156122,7668014.052324209,0.9816318142891195,0.6066986344776863,7573679.776203607,5183779.820541479,10347138.279331725,0.7319588829050381,1.9960605267858196,7698946.099249985,6698861.533712079,9573167.01568428,0.8042214333706234,1.4290737265589435,9127214.644972749,9478500.110372018,10518744.567885641,0.8677095052615579,1.1097477918869587
P8,240540.21783206813,240541.21783206813,5,1,High,nonTarget,15613539.154965276,10580758.175977997,6480014.538813157,2.4094913771327686,0.6124338569163261,8560225.414828598,7242162.029391394,9672594.565191995,0.8849978521413073,1.3355948853307893,6831326.702230421,8323967.871352792,8857319.832291538,0.7712634105550913,1.064074245501871,8473021.190493254,3084576.458045087,9873489.360566331,0.858158740144452,3.2009222319046864,12906845.410553074,15231389.352491729,7786390.420512411,1.6576160086387877,0.5112068400535387,5034604.97429039,4715438.21282086,9006461.33187374,0.5589992327478267,1.9099945594422099,8544993.576338457,8897172.716975827,6244231.099556982,1.368462095668546,0.7018219493078934,8149256.392336152,8641215.38674589,5671107.781391364,1.436977872132205,0.656285895857873,9557665.470107535,6233621.891843906,6624210.361496573,1.4428384590051306,1.0626583511848409,6964746.031804076,9587741.376146538,11261722.372506423,0.6184441243914268,1.1745959690281804,5865001.592658433,7927745.256073041,5437870.887055983,1.0785474157945105,0.6859290644953945,13332160.264710749,11511495.812974993,7399391.315769275,1.8017914846992622,0.6427827830531956,9304067.12192975,9971384.937004436,5190597.956021395,1.7924846425711882,0.5205493508488234,8496454.259371748,10657117.898866236,8913138.621137852,0.9532505462466475,0.8363554486045501
P8,240542.3247629717,240543.3247629717,5,1,High,target,10481869.405002112,8873181.972504234,7582453.604947811,1.3823849048232002,0.8545360197101709,9080283.377330335,23701890.73087149,9818260.788335565,0.9248362386256868,0.4142395600342285,16620091.792549813,10283824.325248614,11888501.877136616,1.3979971542514333,1.1560389891091618,5078692.0135974055,9590954.988700274,9571383.283262359,0.5306121240049597,0.9979593580137771,6704063.31561881,9635302.08710964,7065925.888280344,0.9487876637282985,0.7333372451013576,7925861.116476722,8639901.141495971,9772909.884216988,0.8110031925370349,1.1311367716095002,14886800.616510926,13534185.242732791,9230410.154564595,1.612799471229255,0.6820070797775494,7742061.941425782,5897711.733019089,10095139.71123969,0.7669098361071668,1.7117044996826085,5392391.184489777,9100901.852093259,7230827.868593197,0.7457501799913404,0.7945177286941146,9396363.256489372,6813346.643523334,7233187.94316323,1.2990625060932868,1.0616204226213841,10730432.331240898,14798720.981169803,9311503.642055266,1.1523844852271832,0.6292100279411589,7612750.308442284,7275206.972623756,6124150.528196391,1.2430704100743744,0.8417836841262751,7868695.0746608,13148755.830971068,6957504.93845043,1.1309650721445712,0.5291378916674735,6002486.213990609,8215936.214443894,8991618.027132161,0.6675646358506487,1.0944118591530192
P8,240544.43620207536,240545.43620207536,5,1,High,target,14978944.394520352,11610704.221657343,8967748.393452633,1.6703127404261813,0.772369033113872,7050268.574858713,6044388.664715897,9395246.966050437,0.7504080095323451,1.5543750554783424,13747208.949825665,13725676.516381197,7637117.076207896,1.8000521417502808,0.5564109766897988,11206400.783956809,10824820.397718843,9439406.632942906,1.187193350146312,0.8720150807243054,8006659.172900206,7591454.364396143,10899398.224191602,0.7345964436026515,1.4357457347448057,12184514.357473224,11342181.67140132,9598626.915261427,1.2694018076794236,0.8462769503563702,8626158.565125057,7515750.0428820215,9674944.175959375,0.8915977610041023,1.2872892420261197,9104997.916518174,7047788.147235101,7746190.614590117,1.1754161973975588,1.0990952697165002,6769271.59940621,10257702.517476844,10842109.32567823,0.6243500592060999,1.0569724855254563,5353621.444860685,10143811.145943843,10245436.507542232,0.5225371745673879,1.010018459545062,9863912.539879793,10886150.94583827,12802830.665569505,0.7704477859264899,1.1760658775785184,11637478.893589435,13258189.837795865,7091090.694292736,1.641140890068697,0.5348460673023225,5721700.5798978405,9813932.22467546,7596294.442656445,0.7532225907105499,0.7740316795297258,7431662.696347685,10040988.783586074,11583361.65451489,0.6415808223902789,1.1536076679470175
P8,240546.54405557897,240547.54405557897,5,1,High,target,10298369.831025157,3972426.4918481903,11274630.43671356,0.9134108553563399,2.8382225473146474,9942517.215282027,13584703.279190235,12061169.95521088,0.8243410259704105,0.8878493484422892,8411669.95526254,5690880.841720423,8850881.532780895,0.9503765160688624,1.5552744432626646,10443276.745460985,6629655.730388704,7785011.406987283,1.3414594018562167,1.1742708405359141,8938630.567921022,8099260.359158661,7605131.709587381,1.1753419808170542,0.9389908920494797,7576000.928253956,9630843.932614174,7805712.604341248,0.9705713382325228,0.8104910285076631,7268106.398482042,8501119.685696831,5930282.187767065,1.2255919985518782,0.6975883656531491,12374720.156335182,5104218.392887366,6399282.301115494,1.9337668779166184,1.253724235238989,5220287.771101109,5345802.434349928,13060604.29924839,0.39969726143540885,2.4431513247340226,11327935.826415628,8339112.10756172,6197172.774233077,1.8279199627151759,0.7431453965720907,6623571.917376064,11602440.681295667,7078771.516890814,0.9356951134206567,0.610110554437268,7581692.54485976,6445859.567080455,6477413.042409155,1.1704815634298178,1.0048951540132594,2815353.810172053,5777497.868684386,7091845.654637638,0.3969846422603659,1.2274942917897687,7671658.709799361,11224073.690715365,9018666.727888536,0.8506422225445137,0.803511004685299
P8,240548.6587806826,240549.6587806826,5,1,High,target,5556250.599210078,11872096.883062467,5293092.997029392,1.0497171695884384,0.44584314373148987,6397087.525717924,6193301.33494629,8634572.288723595,0.7408690681844501,1.3941792626821181,10698001.085485188,9091754.350543283,9848661.913001673,1.086239042418774,1.083252091210885,8524964.17028819,10789196.47352004,8086351.184863764,1.0542411497345594,0.7494859514988091,7803348.783110862,11114705.431539647,6803775.170479128,1.1469145566374355,0.6121417443212119,7935166.857782334,5851369.066276473,8901239.00952395,0.8914676764989727,1.521223308374952,7588322.7251832895,4742636.231723002,7036634.570619105,1.078402274415061,1.4836968780257247,10436785.952706544,13059900.98588015,7677179.953456677,1.3594556876327153,0.5878436568360619,9299193.361651044,9930303.067919984,6340124.585131358,1.4667209195635038,0.638462345183929,4320557.767726181,8696225.540082743,9413190.951270338,0.4589897081757498,1.082445586062936,9830710.816526592,9196603.377330422,10633955.839744372,0.9244641377749891,1.1562916658944993,6000281.222620693,8316222.350567176,8439017.81581887,0.7110165369450002,1.0147657746600918,9695501.729644181,10254612.007752918,6372177.731447931,1.5215366140518967,0.621396277755833,8989487.251289077,7214070.045357421,8015836.040106112,1.1214659589232412,1.1111392029336704
P8,240550.76830568624,240551.76830568624,5,1,High,target,6031256.612910631,9755519.745175596,8334214.336499312,0.723674286428778,0.8543075668132225,22007111.196674585,15924727.613752697,10400074.775370847,2.1160531700013525,0.6530770903980346,7030218.2558107525,4088364.6118293083,7460098.094788626,0.9423761144269439,1.8247144770805215,4227768.158881075,5403001.091660613,12398554.688029906,0.34098878984360514,2.294753319070533,8718747.38068338,9697695.938827535,12841888.927073756,0.6789302905666927,1.3242206198337827,6133948.69951461,8383780.158537829,10273579.801034803,0.5970605006539951,1.2254114023460467,8276416.922865607,11316007.947570577,9406869.986561853,0.8798268642692892,0.8312887398228989,10531268.69057664,8720872.440755188,8154884.429560725,1.291406246347494,0.935099611301567,9862148.242068563,10046884.911490664,5410101.48548525,1.8229137232504231,0.538485464215649,7008454.32323219,8264791.3538506515,8006849.845700385,0.8753073253891072,0.9687903182177625,6564906.623138364,6760220.654052403,8215827.48368113,0.7990560459281862,1.215319425817287,5800737.703545046,8504428.337234676,5923065.325373384,0.9793472441871766,0.6964683680666236,9687408.98240285,10868812.569815446,4623004.810786851,2.0954788884924436,0.4253458950636178,12653486.045509098,10900753.173917634,12097471.394461855,1.0459612288318187,1.1097830765866366
P8,240552.88074748983,240553.88074748983,5,1,High,nonTarget,11867730.366270624,13108561.86437253,12655998.50701749,0.9377158475240189,0.9654757431030591,8241514.720707815,9345619.320785537,9490873.608952755,0.8683620771151753,1.015542499986508,7001706.047668795,5763593.182945287,9256563.03425738,0.7564045123180556,1.6060403190231984,8237337.017289005,10727673.626472639,10742425.725450275,0.7668041862997133,1.001375144275571,11467016.030931061,12706706.88129527,10792492.054567726,1.0624993720591025,0.849353979389787,14483429.14747382,12174581.088452794,6807265.270734101,2.1276428303361703,0.5591375359264376,9888576.482361654,15748431.42883787,8756379.007188797,1.1292997338561233,0.5560159465249651,5067669.990941532,7377058.608830409,9162352.670048835,0.5530970235960718,1.2420062189937615,10663800.250655664,12472778.623343293,6950145.135107241,1.5343277073150101,0.5572250855234272,6172395.658882913,6940777.864783449,11182252.796852339,0.5519814093829433,1.6110950407431348,10307743.215601489,11784911.884172425,10774395.405308548,0.9566887818617517,0.9142533700043156,8568061.239973603,8431159.580920745,5348024.616860982,1.6020983173788415,0.6343166163007128,6612790.176882979,7584898.448151711,10849660.436208153,0.6094928238320132,1.4304292286012081,12836353.073994467,13145615.785785839,7278845.89530419,1.763514883901526,0.5537090094459248
