participant,start_time_s,end_time_s,sam_label,block,sam_rating,stimulus,theta_AF3,alpha_AF3,beta_AF3,tbr_AF3,bar_AF3,theta_F7,alpha_F7,beta_F7,tbr_F7,bar_F7,theta_F3,alpha_F3,beta_F3,tbr_F3,bar_F3,theta_FC5,alpha_FC5,beta_FC5,tbr_FC5,bar_FC5,theta_T7,alpha_T7,beta_T7,tbr_T7,bar_T7,theta_P7,alpha_P7,beta_P7,tbr_P7,bar_P7,theta_O1,alpha_O1,beta_O1,tbr_O1,bar_O1,theta_O2,alpha_O2,beta_O2,tbr_O2,bar_O2,theta_P8,alpha_P8,beta_P8,tbr_P8,bar_P8,theta_T8,alpha_T8,beta_T8,tbr_T8,bar_T8,theta_FC6,alpha_FC6,beta_FC6,tbr_FC6,bar_FC6,theta_F4,alpha_F4,beta_F4,tbr_F4,bar_F4,theta_F8,alpha_F8,beta_F8,tbr_F8,bar_F8,theta_AF4,alpha_AF4,beta_AF4,tbr_AF4,bar_AF4
P3,1705.850218956026,1706.850218956026,3,1,Medium,nonTarget,13856891.799285294,11383105.208497908,9264240.418858634,1.4957396583833993,0.8138588064654394,10366965.084622435,13969031.84262503,9778672.192738455,1.0601608153222317,0.7000250484718538,9662397.044357246,6789030.897610289,5984917.492318445,1.6144578528874947,0.8815569677883056,8298679.090413901,12611320.326422665,12795447.691397974,0.6485649654910374,1.0146001655821504,11084034.704812812,5954557.200584653,5627620.6932589,1.9695774304920604,0.94509474066457,7488403.077181009,12641643.996890362,11240744.589951178,0.6661839006532869,0.8891837638139641,10168031.086240165,7978616.325931789,8548658.076242426,1.189430083125928,1.0714461915480142,7039546.087685336,7839457.130424969,6366222.987948052,1.105764925452966,0.8120744691926066,11500531.281583915,15329452.074340377,7465759.6886215415,1.5404368424973163,0.4870206483843156,3583677.365625161,3615498.3013892444,7054140.456763978,0.5080246682909316,1.9510838807622854,7112550.1441437965,10361139.55798801,7306293.5253579095,0.9734826720906177,0.7051631226919494,6873089.446406853,7494912.078092579,10494069.27482964,0.6549498832537897,1.4001590899916643,8023512.154547949,4703121.185760807,7947330.227723074,1.0095858514295941,1.6897991597121609,11471503.280028759,7465603.631794733,11235293.400141673,1.0210239173535163,1.5049410542360533
P3,1707.9597843553554,1708.9597843553554,3,1,Medium,target,8024653.227828349,10964851.061043486,8039625.0294652665,0.9981377487653907,0.7332178964134661,8004242.387130222,7894878.748422505,9134987.543203218,0.8762182049263643,1.1570776238999874,10550918.196167951,8430391.984947348,8107161.155998791,1.3014319060823076,0.9616588612337726,12505288.31103277,9913433.345849479,6925390.901074265,1.8057158779431428,0.6985865198734366,19199332.214574233,10534038.856572093,6803594.828546558,2.821939386222351,0.6458676411946074,11870024.678555435,12355896.759875353,6967915.413289658,1.7035259434860759,0.5639344151787774,7133151.12492,5020292.062514006,5914045.623263902,1.2061373177204686,1.1780282002761273,4285014.688292275,5513594.457060874,6946726.184979056,0.6168394397864401,1.2599269386022525,3257723.987778554,5574483.163865684,7148929.687153694,0.45569394725374596,1.282438116145676,12612267.973737495,9720925.7056293,11220955.479361702,1.1239923370995264,1.15430935480391,9619821.438147783,13182611.865808107,7930935.814246863,1.212949097490748,0.6016209757959592,15198629.312329179,13062722.07867184,8130503.4869660195,1.8693343329467906,0.6224203070385383,10344490.756077675,6246144.405448559,5819510.356282831,1.777553457725117,0.9316964159852642,8467333.275705019,7538029.882809669,8888586.454564538,0.9526074048992128,1.1791657227088987
P3,1710.0645876546864,1711.0645876546864,3,1,Medium,target,11597754.685034534,3340803.2660237523,7893643.113129598,1.4692524755450167,2.3627979514413813,4262304.021234263,3345782.1131853047,7437296.730721629,0.5730985565800731,2.2228873486447855,7375905.013453431,13135019.380342979,6545327.444166474,1.1268962594113163,0.4983112133021888,6141979.25238059,7585510.309224609,6038900.84016146,1.0170690685188288,0.7961100300420997,6629148.457478162,8542667.373062983,8213912.424688492,0.807063444888088,0.9615161244120154,9229657.484244386,8478294.472676614,8093183.646812296,1.140423581995414,0.9545768518532315,5050774.109196548,6205922.034636481,6168711.901317643,0.8187728961888621,0.994004092685799,9029974.660361864,8694829.08162118,6703048.322498327,1.3471444969378135,0.7709235293269873,8231957.8749779565,8070884.98245753,7363135.476458114,1.1179962532670622,0.9123083146968709,12037539.588570261,13257468.839284087,9972099.36858377,1.2071219051921485,0.7521872756762422,7652299.162318702,15561050.720153231,5497362.806849195,1.391994567428706,0.35327709585378575,5741433.122742592,10562920.159243776,8567761.861091996,0.6701205304054545,0.8111167870178602,6798428.000065214,3533862.925364581,6486644.621951656,1.0480654323282088,1.8355676943192254,3863356.6873548497,5137121.916159043,6579438.243257896,0.5871864047532814,1.2807634996089898
P3,1712.1689382540176,1713.1689382540176,3,1,Medium,target,8968301.612271614,5812954.040875882,8697471.894552352,1.0311389011660843,1.4962223739243323,9232921.089645952,13077925.024289023,10086946.343613703,0.9153336178388165,0.771295624105482,6659921.732215715,3259411.1649377574,8286933.075150211,0.8036654419457823,2.542463241304035,10122887.10825545,9757323.994368512,11503657.15739642,0.8799712100031434,1.1789766501589793,8719060.949593259,13842511.92582251,9726272.308057876,0.896444256693268,0.7026378131496499,7844136.070155303,6618877.728590565,6443028.802961232,1.2174609659590716,0.9734322142151464,14553964.2789327,12515442.625837648,8346457.30689428,1.7437295542039064,0.6668926985980776,5694682.155776322,14331104.004392706,7072734.749084347,0.805159865003218,0.49352337035000543,8317187.704378806,8485111.375128303,10604543.577378372,0.7843041658220014,1.2497824847016838,18412883.642178524,12466182.127536904,7631600.070753179,2.412716006010692,0.6121842271095591,7459891.61473681,9978577.756196084,7631507.914682623,0.9775121375926726,0.7647891414128557,11398280.046152504,8250550.951798225,5824113.679196642,1.9570840601663435,0.7059060313938507,10917468.101697328,10700497.957667656,7295300.542014598,1.4965069689483235,0.681772060597143,10885265.880030064,7506878.232133496,6933737.447637362,1.569898768482958,0.923651247992437
P3,1714.2737646533485,1715.2737646533485,3,1,Medium,nonTarget,7500640.695255292,7254280.920968908,6374841.169730769,1.1766004039238,0.8787695485163707,8672469.091425711,12581898.000828264,9822917.097734198,0.8828812261304888,0.7807182268595372,3984959.099284392,4585776.538913675,12542023.355268944,0.3177285663090635,2.7349835407025798,8108372.205625732,4335004.260114855,8424505.596269427,0.9624745467812751,1.9433673165631955,8859158.071149735,7582707.174978241,8564129.28232146,1.034449361879355,1.1294289868639211,5803622.239091762,8839341.145394508,6903455.757685148,0.8406836290115982,0.7809921174138642,15334909.42016525,8697207.940465119,10231284.204358067,1.4988254762420994,1.1763872123552916,6991704.3729003845,6968926.4112658445,6357914.281781522,1.0996852211321841,0.9123233489025553,9463533.043671342,12468331.972178297,7886754.853163136,1.1999273744226762,0.6325428991433302,8919626.058451878,10153085.94193371,12529224.290510634,0.711905689581071,1.2340311469996654,7914218.338540657,5239847.344210748,9710972.12991962,0.8149769387306608,1.8532929476750504,6620844.335893043,6314025.647124614,7244027.247248729,0.913972864804951,1.1472913877927682,8084307.3408245845,5035329.664812263,7461098.113531469,1.0835278155855987,1.481749678808696,4495576.338208239,7104129.183711297,7199882.045338056,0.6243958317510405,1.0134784797897969
P3,1716.383566152678,1717.383566152678,3,1,Medium,target,8509184.351143925,5027456.066198766,4928883.555947423,1.7263918399687779,0.9803931632711664,10378865.172996677,5750865.295991766,7696036.828940586,1.3485986883492347,1.3382398009399672,12286436.31754782,6952747.005067832,7591665.176573766,1.6184112486231743,1.0918943506847336,4985993.608427239,8925622.208951008,9967135.597689528,0.5002433808147485,1.1166880430693162,11620644.440990342,10891630.046234328,7242543.714171837,1.6044976598831793,0.6649641682124406,6998462.824732662,4520534.529592169,6848455.173296573,1.021903867024055,1.5149657918694013,7416718.707497667,9519303.332978152,6772254.002079621,1.0951625123954511,0.7114232801699044,8934346.053048814,8311065.156008758,8765851.243452583,1.0192217281490015,1.0547205537325168,5099285.405144457,5269878.017980829,10451106.005086822,0.4879182550308554,1.9831779728919035,10504214.121476987,5882134.988672966,9905194.202165257,1.0604753331520533,1.6839454077880505,9802032.18901289,11304621.076401126,8728278.148846097,1.1230201446213932,0.7720982498977119,9566338.830302749,7016632.330160113,7546625.928005829,1.2676312462767876,1.0755338990141474,16182577.280102273,12648780.913390655,8648853.064672375,1.8710662742326611,0.6837696947945593,7040350.699095696,4723339.027994547,7060155.306878642,0.9971948764691266,1.494738206390463
P3,1718.4891738520084,1719.4891738520084,3,1,Medium,target,11974916.352932232,9929139.312860902,6516556.796485424,1.8376140540032837,0.656306311267557,9087560.015701592,12100140.646614581,6353049.163611913,1.430424947401953,0.5250392825301077,6110114.224093434,7254569.8192431005,8903969.623931456,0.6862236151020893,1.2273601117344328,6696323.66645321,6704067.4445597865,9422307.538612416,0.7106882936066158,1.4054613287428106,7497250.793259493,6362900.426700236,5623284.312133566,1.3332512419979197,0.8837611678688124,14466958.757498955,13387042.41670913,7469656.446815308,1.93676360626558,0.5579766026207554,9016575.36042655,9905605.356075495,4958037.730069169,1.8185773992286183,0.5005284939025165,5059219.761860993,11669055.745030306,5768828.401836056,0.8769925900813387,0.4943697697470442,11096163.369086387,10047593.138426458,7388483.60395891,1.5018187714649351,0.7353486055980977,6364201.758610636,5225429.461567056,10648419.094531268,0.5976663486018421,2.0378074515884688,9155661.937632302,4995127.049356058,18319421.31799,0.49977899294456846,3.6674585324814974,14403286.076945512,9806414.616076997,6973842.429317564,2.065330013249951,0.711151088582813,9245162.51827772,8600861.423730923,12056102.161398934,0.7668450710279112,1.4017319390979306,6237251.172674402,11373795.38215188,5810374.025128622,1.0734681013132077,0.5108562120122581
P3,1720.5992568513377,1721.5992568513377,3,1,Medium,target,5445523.660251107,3450920.0078285425,9221247.531485403,0.5905408830700716,2.672112801967781,15047051.684363643,8051558.371154537,9507114.876147583,1.5827148278301777,1.1807794762077009,9914178.290369902,5004335.026627389,10316639.877827207,0.960989082470322,2.061540608878855,5506473.268610814,10173763.262542142,7642345.1486253645,0.7205214056056167,0.7511817359425911,9163106.300459081,9637876.652968112,8841226.628822327,1.0364066758098283,0.9173417493467872,9991280.67588865,11226358.870107092,6329991.001692032,1.5784036143523648,0.5638507618482758,7287245.116336367,12422180.373692678,5776045.187119546,1.2616322899597052,0.46497837041167767,17615544.75258683,16193461.85823222,8683728.82625018,2.0285691901544096,0.5362490678196559,12466031.574125342,9081126.044070572,4303412.715633404,2.8967780684475923,0.4738853634173786,11305220.96972849,9975860.482310908,7742845.037566027,1.460086171798461,0.7761581120040281,6167697.884203603,10905570.083236828,11825530.940007875,0.5215577985878996,1.0843569707726821,13766536.50631976,10617697.422800973,10352596.215844382,1.3297665840816268,0.9750321377225066,15885785.083130544,11380513.63636871,6389151.005110942,2.4863687006963615,0.5614114801192391,7454803.275995307,4572169.688584872,9828748.880715067,0.7584691975010507,2.1496903112004038
P3,1722.7103316506668,1723.7103316506668,3,1,Medium,target,7250402.860486281,9537349.101816643,10435898.235913588,0.6947559947964135,1.0942137196095498,4615511.436183718,8167657.9472469725,9807506.395619933,0.47061008680504374,1.2007733990532372,8947564.269045012,13581425.513531892,10547560.626412885,0.8483065028930755,0.7766166089048453,10724104.124028046,12715364.962553576,8845419.863020608,1.2123906258945958,0.6956481303580466,10888834.00249648,8650606.415546305,5417518.13466963,2.0099303282093213,0.6262587701289496,7974709.409026218,10678205.500160191,9485999.230890617,0.8406820636308961,0.8883514398321245,8125409.073627535,5648097.266366858,9711980.328377644,0.8366377194860793,1.7195136468718926,6509338.641273226,8232732.656329287,6763253.283992183,0.9624567302070524,0.8215077017948136,9013610.584772222,10003433.611248497,8206534.2774655325,1.0983455719575625,0.8203717439817447,15123926.86044058,8324411.665362031,6832955.208396649,2.213380067508068,0.8208334093841912,9785951.400587812,16782865.161196828,8916551.383665383,1.0975040662598683,0.5312889842123668,10843026.910395535,14057299.074897444,10225581.062486302,1.0603824706034948,0.7274214632558,10166162.13680998,13128599.354868114,11158155.539611934,0.9110970088846374,0.8499121069967349,6847271.626658243,8408471.442080451,8781524.645152714,0.7797360826673585,1.0443663519156772
P3,1724.8156341499975,1725.8156341499975,3,1,Medium,target,9042438.347558437,10149651.636219408,9867581.494956002,0.9163783802728812,0.9722088844648786,4412816.7138365675,5365837.315735161,6926202.287485273,0.6371192365850967,1.2907961758688409,5637988.3395688,3596938.4686196004,6573688.713831514,0.8576597683589835,1.827578862185625,8194521.736999486,5289883.063364876,7177367.385738237,1.1417169132629859,1.3568102167409233,3650262.9791912143,2349024.056520933,9632479.311333455,0.3789536277432084,4.100630338200888,9181427.344779087,6080862.243310905,9698054.99273796,0.9467287359840988,1.5948486587417852,9949963.433373434,10580226.554192211,10753789.600118201,0.9252518231586071,1.0164044734805058,9608998.415677665,10900722.71712423,10865453.937006377,0.884362353509283,0.9967645466238263,5437765.831221928,4452776.294891995,8013230.242327785,0.6785984761174535,1.7996031490556053,14684564.026481383,12412846.561436478,7346367.057328025,1.9988878736781173,0.5918358066353046,7228692.699648533,5622216.637203177,7796520.828706548,0.9271690358387438,1.3867343312805887,14005529.725819672,8090084.6877498925,7100715.428558578,1.972411071353517,0.8777059453173055,15215626.514145942,13963929.326752745,7351071.156285635,2.0698516162689584,0.5264328531226602,7964382.050721603,7399532.386857036,6172946.52146313,1.29020752456379,0.8342346784544719
